Complexity,Loss,Equation
1,749.3682,"10.658061"
3,749.0784,"x0 + 8.893249"
5,746.60065,"(x1 * -23.149998) + 52.610325"
7,745.2889,"x0 * (10.056584 - (x0 * x0))"
9,741.9852,"((7.5982146 - (x0 * x0)) * x0) * x0"
11,741.8416,"((x0 * (0.26072574 - x0)) - -7.0148187) * (x0 * x0)"
13,738.5969,"(((x0 - 2.3587556) * (x0 * 24.949871)) + 40.11118) * (2.6816661 - x0)"
15,738.44055,"(((x0 * ((x0 - 1.7193542) * x0)) * 8.921591) + 12.436172) * (2.6643355 - x0)"
17,738.43494,"((((((x0 - 1.7409192) * x0) * 9.120725) * x0) + 14.737101) - x1) * (2.6639953 - x0)"
19,738.4348,"((((x0 - 1.6916878) * ((x0 * 9.074606) * x0)) + (14.72079 - x1)) * (2.699463 - x0)) - x0"
21,737.27014,"(((1.8377119 - x1) * 42.348698) * (((7.7127943 - (x0 * (x0 * 2.9978259))) * x0) * (x1 - 1.9609131))) + 9.340167"
23,735.9984,"(((1.7957034 - x1) * ((x0 * (5.7958617 - (x0 * (x1 * x0)))) * ((x1 - 1.9677889) * 42.163353))) + 7.0100384) * x0"
25,735.5926,"((2.7956512 - x0) * (((x0 - 2.4077275) * (1.7343347 - x0)) * ((((x0 - 1.6757295) * (x0 * x0)) * 29.63321) + 21.71749))) + 10.937666"
27,733.63165,"((x0 * (((x0 - 1.7325408) * ((x0 * 27.746473) * x0)) + 23.745071)) * ((x0 - 2.3355172) * ((1.9001374 - x0) * (2.7179728 - x0)))) + 13.962754"
29,733.60443,"((((2.7342517 - x0) * (((x0 * (x0 * ((x0 - 1.6857986) * 15.653288))) + 13.504748) * ((x0 - 2.1395307) * x0))) * (2.1484213 - x0)) + 9.741511) * 1.8957683"
