Complexity,Loss,Equation
1,1203.922,"-4.2912765"
3,1191.9379,"-8.514602 / x0"
4,1182.1415,"exp(x0) + -10.738493"
5,1175.9197,"(x0 * 10.86851) + -23.240843"
6,1174.6711,"(cos(x0) * -12.264192) + -6.108662"
7,1173.2676,"-3.1235535 / exp(cos(13.096651 / x0))"
8,48.592907,"(-1.1231071 / cos(x1 * -9.743871)) / -13.899971"
10,44.344433,"(log(log(x0)) / cos(x1 * -9.743869)) / -13.286982"
12,41.839596,"log(log(x0)) - ((1.1231657 / cos(x1 * -9.743871)) / -13.899971)"
13,39.900524,"(exp(4.6086173 / x0) - (1.1231657 / cos(x1 * -9.743871))) / -13.899971"
15,38.890812,"x0 + ((exp(4.6086173 / x0) - (1.1231657 / cos(x1 * -9.743871))) / -13.899971)"
16,36.734604,"(((-1.1231205 / cos(x1 * -9.743869)) / -13.627302) - (x1 / (x0 - 0.8420853))) + x0"
17,36.323254,"(exp((2.5481074 / x0) * x1) - ((x1 / x0) / cos(x1 * -9.7438545))) / -14.153755"
18,36.185036,"(((-1.1231205 / cos(-9.743869 * x1)) / -13.627302) - (x1 / (x0 - (x1 - 1.0966002)))) + x0"
19,34.74706,"x0 + ((exp(2.5481074 * (x1 / x0)) - ((x1 / x0) / cos(x1 * -9.7438545))) / -14.153755)"
21,33.84301,"((exp((0.71727103 + (x1 / x0)) * x1) - ((x1 / x0) / cos(-9.7438545 * x1))) / -14.153755) + x0"
23,33.428867,"x0 + ((exp((x1 + 0.71727103) / (x0 / x1)) - ((x1 / x0) / cos(x1 * -9.7438545))) / (-12.535607 - x0))"
25,33.352203,"(x0 - 0.27974343) + ((exp((x1 + 0.71727103) / (x0 / x1)) - ((x1 / x0) / cos(x1 * -9.7438545))) / (-12.535607 - x0))"
27,33.352196,"(((exp((0.71727103 + x1) / (x0 / x1)) - ((x1 / x0) / cos(-9.7438545 * x1))) / ((1.6181481 + -14.153755) - x0)) + x0) - 0.27707383"
28,33.304916,"((exp((x1 + 0.71727103) / (x0 / x1)) - ((x1 / x0) / cos(-9.7438545 * x1))) / ((-12.535607 - x0) + sin(x1 + x0))) - -1.6320001"
30,33.289413,"((exp((x1 + 0.71727103) / (x0 / x1)) - ((x1 / x0) / cos(-9.7438545 * x1))) / (sin(x0 + x1) + (-12.535607 - x0))) - (-1.6320001 - -0.2743324)"
