Complexity,Loss,Equation
1,1.6694958,"-2.5108163"
3,4.4147757e-7,"x0 * -2.0000374"
5,4.3660256e-7,"(x0 * -1.9999442) + -0.00014853477"
7,4.1700616e-7,"((x0 * 0.00017197052) + -2.0003603) * x0"
8,1.9157643e-7,"((0.0003329871 / sin(x0)) + -2.000566) * x0"
9,1.8414494e-7,"((0.00035030683 / sin(sin(x0))) + -2.0006435) * x0"
10,1.0774423e-7,"((-3.4513345e-5 / sin(x0 - -0.1860313)) + -2.0000665) * x0"
13,1.0619604e-7,"((0.0009934234 / inv(exp(sin(-0.867525 / sin(x0))))) + -2.0005333) * x0"
14,1.05148914e-7,"x0 * ((0.0011681295 / inv(exp(sin(sin(-0.86752427 / sin(x0)))))) + -2.000682)"
15,1.022797e-7,"((x0 * -2.0002668) + (0.0032869175 / inv(exp(sin(-0.89045453 / sin(x0)))))) - 0.0011835521"
16,1.0111384e-7,"(x0 * -2.000258) + ((0.0037840917 / inv(exp(sin(sin(-0.89044523 / sin(x0)))))) - 0.0015833924)"
17,9.864697e-8,"((sin(inv(sin(x0) - (sin(x0 * x0) * -0.11875843))) * -0.0010910472) + -1.9991499) * x0"
19,9.8574134e-8,"x0 * ((sin(inv(sin(x0) - (sin(x0 * (x0 / -1.0331643)) * 0.11014228))) * -0.0012075873) + -1.9990534)"
20,9.698176e-8,"((sin(inv(sin(x0) - (sin(x0 * (x0 - exp(x0))) * -0.099127606))) * -0.001120369) + -1.9991494) * x0"
22,9.108248e-8,"x0 * ((sin(inv(sin(x0) - (sin(1.3030531 / sin(x0 * (x0 * x0))) * -0.09866792))) * -0.0012940489) + -1.9989913)"
23,9.0350916e-8,"x0 * (sin(sin(inv(sin(x0) - (sin(1.3030534 / sin((x0 * x0) * x0)) * -0.09979032))) * -0.001365031) + -1.9989293)"
24,8.8187036e-8,"((sin(inv(sin(x0) - ((sin(x1 / sin(x0 * (x0 * x0))) / x1) * -0.09850505))) * -0.0014022312) + -1.9989003) * x0"
25,8.7313644e-8,"((sin(inv(sin(x0) - ((-0.098667055 / x1) * sin(sin(x1 / sin(x0 * (x0 * x0))))))) * -0.0013574054) + -1.9989353) * x0"
26,8.730792e-8,"((sin(inv(sin(x0) - sin((-0.098667055 / x1) * sin(sin(x1 / sin(x0 * (x0 * x0))))))) * -0.0013553972) + -1.998938) * x0"
27,8.590451e-8,"(-1.9989223 + (sin(inv(sin(x0) - (sin(sin(sin(x0 * ((x0 * x0) / 0.98043996)) / 0.45545694) / x1) * -0.1005659))) * -0.0013737195)) * x0"
28,8.572862e-8,"x0 * ((sin(inv(sin(x0) - (sin(sin(sin(((x0 * x0) * x0) / 0.980439) / 0.45545688) / sin(x1)) * -0.1005669))) * -0.0013821205) + -1.998915)"
29,8.5619924e-8,"((sin(inv(sin(x0) - (sin(sin(sin((x0 * (x0 * x0)) / 0.980439) / 0.43987268) / sin(sin(x1))) * -0.1005669))) * -0.0013821205) + -1.998915) * x0"
