Complexity,Loss,Equation
1,4021.663,"-21.76696"
3,4007.8875,"-16.614195 / x1"
4,2412.122,"inv(x0 - 1.1962684)"
5,2359.1711,"inv(sin(-27.752636 * x1))"
6,1985.5847,"inv(x0 - 1.1962684) * 0.70838416"
7,1958.1484,"inv(sin(x1 * -27.752636) * 0.59684587)"
8,1686.2518,"(inv(x0 - 1.1961771) * 0.6005038) + -15.989489"
9,1674.4264,"(inv(x0 - 1.1961771) * exp(-0.45116907)) + -15.989489"
10,1649.0233,"((x2 * inv(x0 - 1.1961898)) + -13.803664) / x1"
11,1646.4983,"((sin(x2) * inv(x0 - 1.1961898)) + -14.654554) / x1"
12,1645.0886,"(((x2 * inv(x0 - 1.1961898)) + -14.47905) / x1) * 0.94857025"
13,1635.277,"inv((x2 / -2.6988235) + sin(x1 * -20.077406)) + (x0 / -0.090991355)"
14,1634.0414,"inv(sin((x2 / -2.6988235) + sin(x1 * -20.077406))) + (x0 / -0.090991355)"
15,1627.5258,"inv((x2 / -2.6988235) + sin(x1 * -20.077406)) + ((6.0305815 + -20.077406) / x1)"
16,1626.7375,"((inv(x1) + x0) / -0.16358942) + inv(sin(x1 * -20.077406) + (x2 / -2.6988235))"
17,1623.576,"((x0 / -0.16286568) + (inv(sin(x1 * -20.077457) + (x2 / -2.6983843)) + -6.1125593)) - 2.4202564"
18,1288.5366,"inv(sin(x1 * -31.014515) + (x2 / -1.0095621)) - (-0.32782495 / sin((x1 + 0.5288696) / -0.37761578))"
20,1074.7894,"inv((x2 / -1.009371) + sin(x1 * -31.014515)) - ((-0.29038033 / sin((x1 + 0.5288696) / -0.37761578)) + 15.03553)"
22,1072.1007,"inv((x2 / -1.009371) + sin(x1 * -31.014515)) - ((-0.29038033 / sin((x1 + 0.5288696) / -0.37761578)) + (x0 + 14.035566))"
23,1070.8503,"inv((x2 / -1.009371) + sin(-31.014515 * x1)) - ((-0.29038033 / sin((x1 + 0.5288696) / -0.37761578)) + (inv(x2) + 14.035566))"
24,1063.8931,"(inv(sin(x1 * -31.014515) + (x2 / -1.009371)) - (-0.30890405 / sin((x1 + 0.5288696) / -0.37761578))) - (x0 * exp(exp(x1)))"
25,964.88116,"(inv(sin(x1 * -31.014515) + (x2 / -1.009371)) - (-0.32782495 / sin((x1 + 0.5288696) / -0.37761578))) - exp(-0.18881938 / cos(log(x2)))"
27,841.7319,"(inv((x2 / -1.009371) + sin(x1 * -31.014515)) - (-0.34586444 / sin((x1 + 0.5288696) / -0.37761578))) - (exp(-0.18881938 / cos(log(x2))) + 9.840351)"
29,839.2554,"(inv((x2 / -1.009371) + sin(x1 * -31.014515)) - (-0.34586444 / sin((x1 + 0.5288696) / -0.37761578))) - ((x2 + exp(-0.18881938 / cos(log(x2)))) + 9.840351)"
30,835.3574,"(inv((x2 / -1.009371) + sin(-31.014515 * x1)) - (-0.34586444 / sin((x1 + 0.5288696) / -0.37761578))) - (exp(-0.18881938 / cos(log(x2))) + (9.840351 * inv(x0)))"
