Complexity,Loss,Equation
1,2252.274,"-17.692492"
3,2249.5027,"-16.347353 - x0"
4,2233.5283,"cos(x1) * -27.198343"
5,1535.814,"0.5521898 / (1.287425 - x0)"
6,1535.4564,"0.54504424 / sin(1.287425 - x0)"
7,1321.0437,"(0.47613257 / (x0 + -0.8090534)) - 14.826266"
9,504.5144,"(0.24538593 / (1.2874248 - x0)) / (x0 + -0.8091018)"
10,498.49765,"(0.24486731 / (1.287425 - x0)) / sin(-0.8090785 + x0)"
11,372.30478,"((0.24486728 / (1.2874234 - x0)) / (x0 + -0.8091214)) - 11.229574"
12,370.06943,"((0.24486728 / (1.2874234 - x0)) / sin(x0 + -0.8091214)) - 11.229574"
13,354.48868,"((0.24486731 / (1.2874248 - x0)) / (x0 + -0.80908096)) - (x0 * 7.8164363)"
14,352.40677,"((0.24486731 / (1.2874248 - x0)) / sin(-0.80910254 + x0)) + (x0 / -0.13601872)"
15,352.0294,"((x0 + 0.24486731) / -0.14204895) + ((0.24486731 / (1.2874248 - x0)) / (x0 + -0.8091018))"
16,350.2023,"(((0.24486731 / (1.2874248 - x0)) / sin(-0.8091018 + x0)) + (x0 / -0.14204895)) + -1.5242403"
18,349.84677,"((0.24486731 / (1.2874248 - x0)) / sin(-0.8091018 + x0)) + ((x0 / -0.14204895) - (x1 + x1))"
19,336.12387,"((0.24486731 / (1.2874248 - x0)) / (x0 + -0.80908096)) - ((cos(exp(x1 + x0)) + x0) * 7.8164363)"
21,332.4877,"((0.24486731 / (1.2874248 - x0)) / (x0 + -0.80908096)) - ((cos(exp(x0 + x1)) + (x0 - 0.24486731)) * 7.8164363)"
22,317.24512,"((-0.6708824 / sin(-0.8090534 / x2)) + (((0.31513485 / ((0.5234235 + x1) - x0)) / (x0 + -0.8090534)) + -8.595745)) / x1"
23,315.0399,"((-0.6708824 / sin(-0.8090534 / x2)) + (((0.31513485 / ((0.5234235 + x1) - x0)) / sin(x0 + -0.8090534)) + -8.595745)) / x1"
25,314.80344,"((-1.2499573 / sin(-0.8090534 / x2)) + ((((0.31513485 / ((x1 + 0.5234235) - x0)) / sin(x0 + -0.8090534)) + -8.619472) / x1)) - x2"
26,314.26944,"((-1.2499573 / sin(-0.8090534 / x2)) + ((((0.31513485 / ((x1 + 0.5234235) - x0)) / sin(x0 + -0.8090534)) + -8.619472) / x1)) - cos(x0)"
27,313.37335,"(((((0.31908035 / ((x1 + 0.5234235) - x0)) / (x0 + -0.8090534)) + (-0.80003124 / sin(-0.8090534 / x2))) + -8.39673) - cos(exp(exp(x0)))) / x1"
28,312.10345,"(((-0.80003124 / sin(-0.8090534 / x2)) + (-8.39673 - cos(exp(exp(x2))))) + ((0.31513485 / ((0.5234235 + x1) - x0)) / sin(x0 + -0.8090534))) / x1"
29,311.67383,"(((-0.80003124 / sin(-0.8090534 / x2)) + (-8.39673 - cos(exp(exp(cos(x0)))))) + ((0.31513485 / ((0.5234235 + x1) - x0)) / sin(x0 + -0.8090534))) / x1"
30,311.4823,"((((x2 - 1.0013809) / sin(-0.8090534 / x2)) + (-8.39673 - cos(exp(exp(x2))))) + ((0.31513485 / ((0.5234235 + x1) - x0)) / sin(x0 + -0.8090534))) / x1"
