Complexity,Loss,Equation
1,499.47556,"7.085328"
3,489.57523,"x2 * 13.185325"
4,489.113,"sin(x2) * 14.4608345"
5,165.63336,"-0.115985096 / (x2 + -0.6885299)"
6,165.62526,"-0.115985096 / sin(-0.6885299 + x2)"
7,140.82379,"(-0.11572522 / (-0.6885436 + x2)) + 5.001325"
9,135.76299,"x1 * ((-0.11677536 / (x2 + -0.6885299)) - -6.3599663)"
10,135.49615,"exp(x1 / 0.57268536) + (-0.116775185 / (-0.68854564 + x2))"
11,93.51757,"(-0.116775185 / (-0.68854564 + x2)) + (0.4448838 / (-1.2851591 + x0))"
12,87.46473,"(-0.116775185 / (-0.68854564 + x2)) + (exp(-1.2679069) / (-1.2851591 + x0))"
13,79.53528,"(-0.116775185 / (x2 + -0.68854564)) + (3.5257387 + (0.4448838 / (x0 + -1.2851591)))"
15,65.85454,"(-0.116775185 / (x2 + -0.68854564)) + (((0.4448838 / (x0 + -1.2851591)) + 3.5257387) * x1)"
17,61.63372,"((((x2 / (x0 + -1.2851591)) + (-0.116775185 / (x2 + -0.68854564))) + 7.59225) * x1) * x1"
19,58.9036,"(-0.116775185 / (x2 + -0.68854564)) + (x1 * ((0.4448838 / (x0 + -1.2851591)) + (exp(exp(x2)) + -1.6396563)))"
21,58.550854,"(-0.116775185 / (x2 + -0.68854564)) + (x1 * ((0.4448838 / (x0 + -1.2851591)) + ((exp(exp(x2)) + -1.6396563) - x2)))"
24,56.426613,"(0.2812462 / (0.2812462 - cos(x0))) + ((0.4574715 / cos((x1 * (x2 + (x1 + 2.2405703))) + x1)) + exp(x1 + 0.6913001))"
25,56.197247,"(0.2812462 / (0.2812462 - cos(x0))) + ((x2 / 0.11838624) + (0.45816246 / cos(x1 + (x1 * (((x2 + 1.4330608) + x1) + x0)))))"
26,55.96599,"((0.4574715 / cos((x1 * (((x2 + 1.4330608) + x1) + x0)) + x1)) + exp(x1 + x2)) + (0.2812462 / (0.2812462 - cos(x0)))"
28,55.79696,"((0.4574715 / cos((x1 * (((x2 + 1.4330608) + x1) + sin(0.9399176))) + x1)) + exp(x1 + sin(x2))) + (0.2812462 / (0.2812462 - cos(x0)))"
30,55.617485,"((0.4574715 / cos((x1 * (x1 + (x0 + (x2 + 1.4330608)))) + x1)) + exp(x1 + sin(x2 / cos(x0)))) + (0.2812462 / (0.2812462 - cos(x0)))"
