Complexity,Loss,Equation
1,319.73593,"5.8008394"
3,318.46243,"7.1596804 - x0"
4,318.4135,"sin(x0) * 7.9856625"
5,219.21681,"-0.6174917 / (-0.9708826 + x1)"
6,181.0705,"x2 / sin(x0 / 0.06423344)"
7,142.85907,"-0.6174917 / ((x1 / x0) + -1.1977324)"
8,142.84335,"-0.6174917 / sin(-1.1977324 + (x1 / x0))"
9,127.618195,"3.9379666 - (0.5977016 / ((x1 / x0) + -1.1977324))"
11,127.2288,"4.40331 - (0.7379549 / ((-1.1552722 / x1) + (x1 / x0)))"
12,125.567696,"4.1211433 - (0.70954365 / ((1.0438011 + (x1 / x0)) - exp(x0)))"
13,125.55161,"4.1211433 - (sin(x0) / ((1.0438011 + (x1 / x0)) - exp(x0)))"
14,125.53105,"4.1211433 - ((0.70954365 / (((x1 / x0) + 1.0438011) - exp(x0))) + -0.1827412)"
15,43.146767,"(-0.2862868 / (x1 + (0.5234949 - x0))) - (0.6104016 / ((x1 / x0) + -1.1977324))"
16,41.780415,"(log(x1) / ((x1 - x0) + 0.5234949)) - (0.6104016 / ((x1 / x0) + -1.1977324))"
17,35.35122,"((-0.2839323 / (x1 + (0.5234949 - x0))) - (0.5977016 / ((x1 / x0) + -1.1977324))) + 2.860108"
18,34.67484,"(-0.2839323 / (x1 + (0.5234949 - x0))) + (exp(x1) - (0.5977016 / ((x1 / x0) + -1.1977324)))"
19,34.606743,"((log(x1) / (x1 + (0.5234949 - x0))) + exp(x1)) - (0.5977016 / ((x1 / x0) + -1.1977324))"
20,33.85237,"(-0.2862868 / (x1 + (0.5234949 - x0))) + (3.1669738 - (0.97243714 / (((x1 / x0) + 1.0419546) - exp(x0))))"
21,33.80878,"((log(x1) / ((x1 + 0.5234949) - x0)) - (0.9684531 / (((x1 / x0) + 1.0419546) - exp(x0)))) + 2.9579027"
22,33.5376,"((-0.2862868 / ((0.5234949 - x0) + x1)) - ((0.97243714 / (((x1 / x0) + 1.0419546) - exp(x0))) - x1)) - -2.3198607"
23,33.277607,"(exp(x1) + (-0.2862868 / ((x1 + 0.5234949) - x0))) - ((x1 / (((x1 / x0) + 1.0419546) - exp(x0))) - x1)"
24,33.254494,"(exp(x1) + (-0.2862868 / sin((0.5234949 - x0) + x1))) - ((x1 / ((1.0419546 + (x1 / x0)) - exp(x0))) - x1)"
25,33.238663,"((-0.29172873 / (x1 + (0.5234949 - x0))) / 1.0419546) + (0.89716417 + (exp(x1) - (x1 / (((x1 / x0) + 1.0419546) - exp(x0)))))"
26,32.91688,"((cos(exp(exp(x0))) - (x1 / (((x1 / x0) + 1.0419546) - exp(x0)))) + 2.7744997) + (log(x1) / (x1 + (0.5234949 - x0)))"
27,32.86231,"((cos(exp(exp(x0))) - (exp(-0.03454914) / (((x1 / x0) + 1.0419546) - exp(x0)))) + 2.7744997) + (log(x1) / (x1 + (0.5234949 - x0)))"
28,32.7932,"(log(x1) / ((0.5234949 - x0) + x1)) + ((cos(x0 * (x0 * x0)) - (x1 / (((x1 / x0) + 1.0419546) - exp(x0)))) + 2.7744997)"
29,32.778988,"((cos(exp((x1 + x1) / x0)) + (log(x1) / (x1 + (0.5234949 - x0)))) - (x1 / (((x1 / x0) + 1.0419546) - exp(x0)))) + 3.0712855"
30,32.6441,"(((log(x1) / (x1 + (0.5234949 - x0))) - (0.9684531 / (((x1 / x0) + 1.0419546) - exp(x0)))) + cos(x0 * ((x0 * x0) - x2))) + 2.4211574"
