Complexity,Loss,Equation
1,12800.086,"15.634339"
3,12744.617,"13.223976 / x1"
4,12713.825,"sin(x0) * 24.311665"
5,475.79675,"0.65897125 / (x1 + -0.6310329)"
6,270.09253,"0.8277991 / (exp(x1) - x0)"
8,252.29306,"(0.8246499 / (exp(x1) - x0)) + 4.241555"
10,249.60143,"((1.5536219 / (exp(x1) - x0)) + 3.2990866) / x0"
11,249.4772,"(0.8261028 / (exp(x1) - x0)) + exp(x1 / 0.6052069)"
12,249.27907,"(-0.8257839 / (x0 - exp(x1))) - ((-2.9796638 / x0) - x0)"
13,246.86314,"exp(sin(exp(x0)) + 0.9274721) + (0.8261028 / (exp(x1) - x0))"
14,113.26409,"(-0.82482797 / (x1 - (x0 * 2.118401))) + (-0.82482797 / (x0 - exp(x1)))"
16,109.05529,"((-0.82482797 / (x1 - (x0 * 2.118401))) + (-0.82482797 / (x0 - exp(x1)))) + x0"
18,38.110435,"(-0.8301339 / (x0 - exp(x1))) - (-1.0048317 / (-3.2056613 + (0.48040316 / (x1 - (1.8332801 * x0)))))"
20,29.80194,"(0.98090774 / ((0.48039633 / (x1 - (x0 * 1.833279))) + -3.2056673)) + ((-0.8242695 / (x0 - exp(x1))) - -2.8117652)"
21,29.798452,"(exp(1.1098349) + (0.9919449 / (-3.2056673 + (0.48039633 / (x1 - (x0 * 1.833279)))))) + (-0.8242695 / (x0 - exp(x1)))"
22,29.463438,"((-0.8242695 / (x0 - exp(x1))) + ((0.98090774 / (-3.2056673 + (0.48039633 / (x1 - (1.833279 * x0))))) + x0)) + 1.665834"
23,29.43367,"((x0 + exp(0.49189794)) + (0.9919449 / (-3.2056673 + (0.48039633 / (x1 - (x0 * 1.833279)))))) + (-0.8242695 / (x0 - exp(x1)))"
24,29.394682,"((-0.82432956 / (x0 - exp(x1))) + (0.98090774 / ((0.48039633 / (x1 - (x0 * 1.833279))) + -3.2056673))) + ((x1 - -0.82432956) + x0)"
25,29.355053,"((exp(x1) + x0) + (-0.8242695 / (x0 - exp(x1)))) + ((0.9919449 / ((0.48039633 / (x1 - (x0 * 1.833279))) + -3.2056673)) - x1)"
26,28.629402,"((((0.98090774 / ((0.48039633 / (x1 - (x0 * 1.833279))) + -3.2056673)) + 1.3885773) + sin(exp(x0))) + x0) + (-0.8242695 / (x0 - exp(x1)))"
28,28.584778,"(((x0 + (-0.8242695 / (x0 - exp(x1)))) + ((0.98090774 / ((0.48039633 / (x1 - (x0 * 1.833279))) + -3.2056673)) - -2.1077223)) + sin(exp(x0))) - x1"
29,28.567934,"(((0.98090774 / (-3.2056673 + (0.48039633 / (x1 - (1.833279 * x0))))) + exp((0.18796672 * 0.1081157) + sin(exp(x0)))) + x0) + (-0.8242695 / (x0 - exp(x1)))"
30,28.134512,"((-0.8242695 / (x0 - exp(x1))) + 0.70884544) + (((0.98090774 / ((0.48039633 / (x1 - (x0 * 1.833279))) + -3.2056673)) - -0.8242695) + ((sin(exp(x0)) * x0) + x0))"
