Complexity,Loss,Equation
1,45947.39,"-27.5488"
3,43666.13,"x1 * -55.128693"
5,41544.97,"x1 * (x1 * -45.57428)"
7,40942.02,"((x1 * -37.39721) + -27.726887) * x1"
9,40368.727,"(((-0.9432898 - x1) * x1) + x0) * 30.214542"
11,40115.305,"(((x0 * -23.110767) * (x1 * x1)) + 31.559004) * x0"
13,39655.836,"x1 * (((x1 * 52.025032) + -148.87653) * ((x1 * x1) + -0.9230227))"
15,37214.195,"(x1 * (((x1 * x1) + -1.0245526) * ((x1 * 58.78278) + -151.9429))) * x1"
17,36208.96,"(x1 * ((x1 * x1) + -1.1257358)) * (x1 * (((x1 * x0) * -35.45973) + -132.29326))"
19,35336.816,"((x1 * ((x1 * x1) + -1.1922667)) * ((((x0 * x1) * -22.39922) + -82.093185) * x1)) * x1"
21,35204.484,"((((x1 - -0.66232276) * (-65.041084 + ((x1 * x0) * -17.744669))) * x1) * ((x1 * x1) + -1.3053206)) * x1"
23,35162.0,"((((((((x0 * x1) * -30.310616) + -121.55745) * ((x1 * x1) - 1.1811235)) + 64.55669) * x1) * x1) - 68.0692) * x1"
25,34981.645,"(((x1 * -8.178586) * x1) + 10.024786) * (((((x1 * x1) * 5.6641755) * x0) - (x0 + -1.7292957)) * (x0 * (2.5477386 - x1)))"
27,34843.887,"x0 * ((((2.5537589 - x1) * ((((x1 * (x0 * 6.263591)) * x1) - -2.3747864) - x0)) * ((x1 * (x1 * -8.272062)) + 11.037)) + -22.431313)"
29,34826.957,"(x0 * ((((2.5526705 - x1) * ((x1 * (x1 * -6.9669833)) + 9.578555)) * (((x1 * (x1 * (x0 * 7.463464))) - -2.8317015) - x0)) + -25.902342)) - 6.238323"
