Complexity,Loss,Equation
1,45947.39,"-27.548912"
3,43666.13,"x1 * -55.17688"
5,41544.97,"(x1 * -45.574276) * x1"
7,40942.016,"((x1 + 0.74174064) * -37.392673) * x1"
9,40368.73,"(x0 + ((-0.942427 - x1) * x1)) * 30.219772"
11,40311.562,"(x0 * ((x1 * (0.3504561 - x0)) + 0.91612744)) * 36.653133"
13,40086.254,"(((x1 * (0.95239276 - x0)) + 0.57898647) * 58.84883) * (x0 + 0.6457463)"
15,37214.19,"(((x1 * x1) - 1.0245658) * ((x1 * 58.788143) + -151.95573)) * (x1 * x1)"
17,36232.203,"(x1 * x1) * (((x1 * x1) - 1.0920697) * (((x1 * 36.88635) + -93.8823) * x1))"
19,35459.242,"(x0 * x1) * (x0 * (((x1 * (((x1 * 48.234863) + -139.54053) * x1)) - -108.2073) * x1))"
21,35305.01,"(1.2609872 - (x1 * x1)) * (x1 * (((1.4447552 - (x0 * ((3.2442036 - x1) * x0))) * -48.420956) * x1))"
23,34980.598,"((0.24349585 - (x0 * (1.3247544 - (x1 * x1)))) * (2.5475674 - x1)) * ((((x1 * x1) * -47.994286) * x0) + -12.135645)"
25,34924.336,"(x0 * ((-17.46333 - ((1.3995854 - (x1 * x1)) * (((x0 * -48.995842) * (x1 * x1)) + -23.569918))) * (2.54071 - x1))) - 17.018948"
27,34840.523,"((-18.330315 - ((((x0 * (x1 * (x1 + -0.2116535))) * -56.31733) + -24.674513) * (1.4234061 - (x1 * x1)))) * ((2.537275 - x1) * x0)) - 19.66319"
29,34693.33,"(x0 + ((x1 + -0.45695326) * (((0.3323285 - ((1.1547598 - x1) * (x0 * (2.69641 - x1)))) * (x1 * ((-0.7730971 - x1) * 2.8299887))) * x0))) * 28.188602"
